"11a7 -- Immigration and emigration by age (5-year), sex and area, 1990-2024"

"Area","Sex","Age","Information","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Ii","Total","Total","Net migration",7,9,9,9,-1,7,3,1,-1,16,-7,-10,8,29,12,26,2,2,-3,18,-4,5,12,-4,7,5,5,5,1,4,6,11,3,8,6
"Iisalmi","Total","Total","Immigration to Finland",34,51,52,4,22,19,20,17,16,19,26,31,28,35,36,38,30,35,47,34,28,58,65,84,83,62,54,64,52,48,53,61,133,185,138
"Iisalmi","Total","Total","Emigration from Finland",29,13,16,5,12,22,20,24,12,40,26,43,37,27,25,30,14,26,14,26,15,19,10,16,22,25,23,23,29,21,11,17,22,18,22
"Iisalmi","Total","Total","Net migration",5,38,36,-1,10,-3,0,-7,4,-21,0,-12,-9,8,11,8,16,9,33,8,13,39,55,68,61,37,31,41,23,27,42,44,111,167,116
"Iitti","Total","Total","Immigration to Finland",9,24,33,8,11,4,8,8,6,5,17,5,6,4,7,11,17,8,9,20,18,20,21,10,14,13,5,14,17,13,29,6,14,25,22
"Iitti","Total","Total","Emigration from Finland",11,4,8,7,0,4,11,3,8,10,6,7,5,19,11,3,5,5,3,5,8,9,6,9,7,6,20,18,11,14,6,5,5,3,4
"Iitti","Total","Total","Net migration",-2,20,25,1,11,0,-3,5,-2,-5,11,-2,1,-15,-4,8,12,3,6,15,10,11,15,1,7,7,-15,-4,6,-1,23,1,9,22,18
"Ikaalinen","Total","Total","Immigration to Finland",3,9,12,5,6,13,14,7,0,6,7,10,10,16,20,11,8,15,13,4,14,10,14,14,21,17,7,8,13,20,17,24,21,142,21
"Ikaalinen","Total","Total","Emigration from Finland",3,4,5,5,5,2,16,6,5,5,3,3,8,5,8,7,6,7,3,5,7,3,4,2,17,9,4,3,9,7,4,3,8,8,7
"Ikaalinen","Total","Total","Net migration",0,5,7,0,1,11,-2,1,-5,1,4,7,2,11,12,4,2,8,10,-1,7,7,10,12,4,8,3,5,4,13,13,21,13,134,14
"Ilmajoki","Total","Total","Immigration to Finland",6,18,9,7,2,8,5,15,13,3,13,12,6,4,15,21,13,22,30,16,23,20,15,19,13,4,9,7,14,27,51,46,52,40,85
"Ilmajoki","Total","Total","Emigration from Finland",6,0,7,2,9,9,7,13,4,7,1,12,3,3,7,7,6,9,12,13,9,4,7,5,10,8,6,9,6,8,4,4,6,6,14
"Ilmajoki","Total","Total","Net migration",0,18,2,5,-7,-1,-2,2,9,-4,12,0,3,1,8,14,7,13,18,3,14,16,8,14,3,-4,3,-2,8,19,47,42,46,34,71
"Ilomantsi","Total","Total","Immigration to Finland",5,4,25,31,10,7,1,9,12,16,23,50,18,17,12,20,16,14,8,15,17,14,20,7,11,9,4,22,17,10,12,21,5,18,25
"Ilomantsi","Total","Total","Emigration from Finland",0,0,5,10,1,2,2,7,7,7,13,12,10,7,12,19,8,5,4,0,3,5,10,10,2,3,5,3,10,9,3,1,1,3,5
"Ilomantsi","Total","Total","Net migration",5,4,20,21,9,5,-1,2,5,9,10,38,8,10,0,1,8,9,4,15,14,9,10,-3,9,6,-1,19,7,1,9,20,4,15,20
"Imatra","Total","Total","Immigration to Finland",58,73,36,42,39,66,60,65,87,65,83,93,62,90,72,51,66,137,117,102,122,113,131,169,116,114,155,173,136,163,136,123,177,324,295
"Imatra","Total","Total","Emigration from Finland",40,19,19,16,29,29,33,52,26,28,41,40,59,28,33,33,26,33,26,26,36,25,41,36,38,38,55,39,42,65,17,34,21,34,48
"Imatra","Total","Total","Net migration",18,54,17,26,10,37,27,13,61,37,42,53,3,62,39,18,40,104,91,76,86,88,90,133,78,76,100,134,94,98,119,89,156,290,247
"Inari","Total","Total","Immigration to Finland",25,38,14,15,12,18,18,21,17,37,32,31,25,25,13,14,23,17,21,10,12,21,21,33,19,17,30,40,40,42,37,40,51,77,79
"Inari","Total","Total","Emigration from Finland",13,22,6,19,13,22,19,32,22,21,33,21,19,18,17,7,5,20,18,12,20,8,24,11,11,15,18,18,13,8,26,10,15,19,16
"Inari","Total","Total","Net migration",12,16,8,-4,-1,-4,-1,-11,-5,16,-1,10,6,7,-4,7,18,-3,3,-2,-8,13,-3,22,8,2,12,22,27,34,11,30,36,58,63
"Ingå","Total","Total","Immigration to Finland",27,15,30,17,23,12,22,16,20,22,10,27,20,22,22,24,28,25,22,26,28,25,18,24,21,16,41,39,20,17,30,24,23,28,25
"Ingå","Total","Total","Emigration from Finland",20,8,7,26,14,19,25,10,15,16,11,14,19,13,12,23,15,11,17,22,19,18,13,17,14,28,20,17,21,15,17,20,11,20,24
"Ingå","Total","Total","Net migration",7,7,23,-9,9,-7,-3,6,5,6,-1,13,1,9,10,1,13,14,5,4,9,7,5,7,7,-12,21,22,-1,2,13,4,12,8,1
"Isojoki","Total","Total","Immigration to Finland",8,5,8,3,6,3,2,7,3,5,3,2,1,7,8,7,13,3,7,3,16,9,6,5,4,11,7,14,6,3,2,4,9,18,7
"Isojoki","Total","Total","Emigration from Finland",10,3,3,1,3,3,2,0,0,0,1,2,1,1,0,1,3,7,2,0,1,2,0,4,7,9,5,4,9,1,0,2,3,6,1
"Isojoki","Total","Total","Net migration",-2,2,5,2,3,0,0,7,3,5,2,0,0,6,8,6,10,-4,5,3,15,7,6,1,-3,2,2,10,-3,2,2,2,6,12,6
"Isokyrö","Total","Total","Immigration to Finland",15,11,2,4,0,5,10,5,6,8,3,6,10,7,8,5,3,1,12,9,11,13,8,22,10,6,5,6,11,8,5,7,14,29,6
"Isokyrö","Total","Total","Emigration from Finland",3,0,1,4,7,7,3,7,1,5,8,7,2,5,6,6,1,2,4,0,2,7,1,0,2,0,2,3,4,9,3,1,1,6,0
"Isokyrö","Total","Total","Net migration",12,11,1,0,-7,-2,7,-2,5,3,-5,-1,8,2,2,-1,2,-1,8,9,9,6,7,22,8,6,3,3,7,-1,2,6,13,23,6
"Jakobstad","Total","Total","Immigration to Finland",123,116,81,56,74,68,83,55,90,137,91,105,108,82,134,99,118,129,173,156,213,268,288,236,235,216,213,263,217,223,199,239,350,563,344
"Jakobstad","Total","Total","Emigration from Finland",108,55,59,94,101,113,87,95,122,113,117,113,77,95,55,75,79,81,57,97,83,96,84,77,84,82,123,107,113,142,85,64,86,73,66
"Jakobstad","Total","Total","Net migration",15,61,22,-38,-27,-45,-4,-40,-32,24,-26,-8,31,-13,79,24,39,48,116,59,130,172,204,159,151,134,90,156,104,81,114,175,264,490,278
"Janakkala","Total","Total","Immigration to Finland",17,76,25,16,27,16,20,15,19,10,20,22,30,21,20,15,24,34,34,32,53,37,48,46,47,31,30,26,23,23,39,25,27,66,72
"Janakkala","Total","Total","Emigration from Finland",11,6,11,13,16,4,11,8,2,15,24,17,14,11,8,12,19,11,17,17,14,13,14,10,23,23,30,36,18,31,25,11,20,27,8
"Janakkala","Total","Total","Net migration",6,70,14,3,11,12,9,7,17,-5,-4,5,16,10,12,3,5,23,17,15,39,24,34,36,24,8,0,-10,5,-8,14,14,7,39,64
"Joensuu","Total","Total","Immigration to Finland",129,244,202,188,155,127,129,112,159,153,174,175,198,134,207,178,171,209,215,228,235,276,313,344,306,288,425,345,285,376,381,504,796,1187,1352
"Joensuu","Total","Total","Emigration from Finland",58,52,72,58,66,56,67,76,99,91,116,113,82,116,124,64,87,109,95,76,89,97,87,83,89,114,175,108,134,98,155,108,124,118,153
"Joensuu","Total","Total","Net migration",71,192,130,130,89,71,62,36,60,62,58,62,116,18,83,114,84,100,120,152,146,179,226,261,217,174,250,237,151,278,226,396,672,1069,1199
"Jokioinen","Total","Total","Immigration to Finland",2,3,6,17,1,1,2,6,1,5,5,6,4,9,16,19,12,11,7,9,11,13,8,7,5,12,10,18,14,13,11,17,18,18,21
"Jokioinen","Total","Total","Emigration from Finland",0,2,1,1,4,2,3,6,4,4,10,4,3,5,2,4,3,8,1,1,6,14,4,9,3,5,8,9,5,5,1,5,5,5,8
"Jokioinen","Total","Total","Net migration",2,1,5,16,-3,-1,-1,0,-3,1,-5,2,1,4,14,15,9,3,6,8,5,-1,4,-2,2,7,2,9,9,8,10,12,13,13,13
"Jomala","Total","Total","Immigration to Finland",25,19,12,10,23,12,24,18,35,28,29,38,41,26,45,46,60,58,65,50,77,61,51,53,72,62,89,71,92,73,89,79,48,68,79
"Jomala","Total","Total","Emigration from Finland",15,17,19,22,17,31,33,31,26,50,48,40,50,43,59,47,61,31,39,50,50,35,54,45,48,42,62,46,60,53,43,52,57,71,74
"Jomala","Total","Total","Net migration",10,2,-7,-12,6,-19,-9,-13,9,-22,-19,-2,-9,-17,-14,-1,-1,27,26,0,27,26,-3,8,24,20,27,25,32,20,46,27,-9,-3,5
"Joroinen","Total","Total","Immigration to Finland",6,18,16,4,7,2,4,7,5,7,2,8,3,4,5,1,10,16,9,10,15,13,19,12,12,10,13,16,11,23,20,21,23,86,42
"Joroinen","Total","Total","Emigration from Finland",3,0,4,1,3,2,2,7,2,4,4,6,4,2,5,3,3,8,7,1,12,4,2,4,3,6,5,5,5,4,4,2,5,4,2
"Joroinen","Total","Total","Net migration",3,18,12,3,4,0,2,0,3,3,-2,2,-1,2,0,-2,7,8,2,9,3,9,17,8,9,4,8,11,6,19,16,19,18,82,40
"Joutsa","Total","Total","Immigration to Finland",3,25,12,3,7,4,9,8,4,5,7,4,6,16,6,10,6,19,9,17,15,16,10,13,6,10,16,9,10,7,10,12,14,27,192
"Joutsa","Total","Total","Emigration from Finland",4,1,6,4,4,5,4,6,1,2,10,2,4,1,11,5,5,11,2,2,9,3,11,7,6,11,5,6,11,10,5,4,3,2,8
"Joutsa","Total","Total","Net migration",-1,24,6,-1,3,-1,5,2,3,3,-3,2,2,15,-5,5,1,8,7,15,6,13,-1,6,0,-1,11,3,-1,-3,5,8,11,25,184
"Juuka","Total","Total","Immigration to Finland",4,27,15,8,4,8,2,10,5,4,9,9,9,10,16,9,17,6,10,8,1,8,9,5,8,7,3,7,8,7,10,9,9,36,17
"Juuka","Total","Total","Emigration from Finland",0,4,4,0,1,2,11,0,4,2,3,1,2,0,4,1,2,0,2,2,3,6,1,3,3,10,4,1,4,6,5,6,1,12,2
"Juuka","Total","Total","Net migration",4,23,11,8,3,6,-9,10,1,2,6,8,7,10,12,8,15,6,8,6,-2,2,8,2,5,-3,-1,6,4,1,5,3,8,24,15
"Juupajoki","Total","Total","Immigration to Finland",1,3,7,0,2,4,10,9,2,6,3,3,5,0,6,3,6,3,5,0,4,5,1,3,0,3,5,3,2,3,1,6,3,7,7
"Juupajoki","Total","Total","Emigration from Finland",0,0,1,0,1,8,0,2,2,10,5,2,0,2,0,1,0,4,3,4,0,4,2,3,4,1,4,2,3,1,1,0,1,5,2
"Juupajoki","Total","Total","Net migration",1,3,6,0,1,-4,10,7,0,-4,-2,1,5,-2,6,2,6,-1,2,-4,4,1,-1,0,-4,2,1,1,-1,2,0,6,2,2,5
"Juva","Total","Total","Immigration to Finland",11,17,4,19,7,9,9,5,12,12,8,8,5,8,10,7,12,19,13,10,9,20,13,12,3,37,5,28,7,17,6,18,15,70,35
"Juva","Total","Total","Emigration from Finland",6,4,4,5,6,1,4,1,2,6,2,5,1,1,1,14,1,1,8,2,1,1,5,6,2,4,1,3,1,4,7,4,3,0,3
"Juva","Total","Total","Net migration",5,13,0,14,1,8,5,4,10,6,6,3,4,7,9,-7,11,18,5,8,8,19,8,6,1,33,4,25,6,13,-1,14,12,70,32
"Jyväskylä","Total","Total","Immigration to Finland",290,298,316,308,242,247,297,369,325,362,413,387,435,379,458,455,454,604,671,525,514,582,651,633,609,621,755,611,592,684,706,757,1073,1880,1844
"Jyväskylä","Total","Total","Emigration from Finland",102,98,118,137,145,164,186,178,164,222,242,304,363,325,216,249,290,271,284,214,295,271,263,280,276,329,339,343,400,347,283,245,284,321,346
"Jyväskylä","Total","Total","Net migration",188,200,198,171,97,83,111,191,161,140,171,83,72,54,242,206,164,333,387,311,219,311,388,353,333,292,416,268,192,337,423,512,789,1559,1498
"Jämijärvi","Total","Total","Immigration to Finland",0,6,1,1,0,0,0,0,0,1,1,0,1,0,2,1,5,3,0,1,2,1,1,14,10,2,2,5,1,2,1,1,2,17,3
"Jämijärvi","Total","Total","Emigration from Finland",1,0,0,0,1,2,2,0,0,0,1,0,2,1,3,0,2,0,0,1,0,0,1,1,0,1,0,2,1,4,2,2,0,1,0
"Jämijärvi","Total","Total","Net migration",-1,6,1,1,-1,-2,-2,0,0,1,0,0,-1,-1,-1,1,3,3,0,0,2,1,0,13,10,1,2,3,0,-2,-1,-1,2,16,3
"Jämsä","Total","Total","Immigration to Finland",39,53,38,33,34,18,37,34,38,21,19,54,39,38,45,60,39,31,39,50,47,46,39,28,36,18,74,62,76,76,68,60,37,207,236
"Jämsä","Total","Total","Emigration from Finland",20,20,18,7,12,26,24,34,27,27,31,23,20,24,24,28,26,33,23,33,18,16,15,20,15,16,12,19,26,22,25,15,19,46,14
"Jämsä","Total","Total","Net migration",19,33,20,26,22,-8,13,0,11,-6,-12,31,19,14,21,32,13,-2,16,17,29,30,24,8,21,2,62,43,50,54,43,45,18,161,222
"Järvenpää","Total","Total","Immigration to Finland",84,116,82,137,85,70,51,64,75,74,88,94,98,77,93,117,101,80,149,108,125,166,176,151,163,143,195,111,149,157,197,192,222,649,579
"Järvenpää","Total","Total","Emigration from Finland",48,36,32,54,77,57,65,57,94,67,77,94,52,69,67,75,79,72,69,42,34,49,61,83,100,93,95,85,100,122,107,89,104,111,101
"Järvenpää","Total","Total","Net migration",36,80,50,83,8,13,-14,7,-19,7,11,0,46,8,26,42,22,8,80,66,91,117,115,68,63,50,100,26,49,35,90,103,118,538,478
"Kaarina","Total","Total","Immigration to Finland",32,38,46,28,33,40,65,33,47,43,45,77,61,69,74,58,89,100,80,70,52,78,79,87,117,85,83,63,89,101,109,81,99,202,160
"Kaarina","Total","Total","Emigration from Finland",31,17,26,15,53,34,53,45,41,42,55,56,65,67,71,46,55,57,39,45,63,37,37,46,71,55,77,58,93,72,44,52,47,56,78
"Kaarina","Total","Total","Net migration",1,21,20,13,-20,6,12,-12,6,1,-10,21,-4,2,3,12,34,43,41,25,-11,41,42,41,46,30,6,5,-4,29,65,29,52,146,82
"Kaavi","Total","Total","Immigration to Finland",2,7,4,3,3,19,4,1,7,3,0,3,5,1,7,3,4,2,7,4,4,8,19,4,10,20,2,0,8,2,4,4,2,4,13
"Kaavi","Total","Total","Emigration from Finland",2,0,0,2,3,4,9,6,1,1,8,1,3,4,3,3,2,0,1,1,2,0,4,0,2,1,4,1,5,9,3,1,2,1,0
"Kaavi","Total","Total","Net migration",0,7,4,1,0,15,-5,-5,6,2,-8,2,2,-3,4,0,2,2,6,3,2,8,15,4,8,19,-2,-1,3,-7,1,3,0,3,13
"Kajaani","Total","Total","Immigration to Finland",61,82,53,84,27,44,32,45,43,112,120,96,164,142,216,182,89,221,189,178,191,189,187,266,207,180,267,146,163,130,151,331,464,871,627
"Kajaani","Total","Total","Emigration from Finland",30,29,22,28,29,25,31,47,44,79,59,47,36,49,37,38,27,26,35,47,33,28,32,43,43,32,43,56,50,48,38,21,39,41,54
"Kajaani","Total","Total","Net migration",31,53,31,56,-2,19,1,-2,-1,33,61,49,128,93,179,144,62,195,154,131,158,161,155,223,164,148,224,90,113,82,113,310,425,830,573
"Kalajoki","Total","Total","Immigration to Finland",12,40,22,10,15,18,15,12,12,11,11,21,23,21,30,24,32,37,47,15,29,41,29,28,37,29,21,34,51,32,44,53,58,110,54
"Kalajoki","Total","Total","Emigration from Finland",14,17,12,14,12,12,20,9,18,10,19,21,13,10,17,17,14,5,8,11,11,8,21,11,13,11,12,13,14,11,13,9,7,12,12
"Kalajoki","Total","Total","Net migration",-2,23,10,-4,3,6,-5,3,-6,1,-8,0,10,11,13,7,18,32,39,4,18,33,8,17,24,18,9,21,37,21,31,44,51,98,42
"Kangasala","Total","Total","Immigration to Finland",36,42,42,29,19,34,56,52,40,42,60,61,61,54,60,75,50,64,75,53,62,66,54,60,85,57,94,63,57,62,65,35,76,107,85
"Kangasala","Total","Total","Emigration from Finland",15,18,22,24,29,15,34,32,37,38,34,42,56,24,32,56,39,35,37,35,36,42,52,33,44,49,48,42,46,34,27,39,52,36,42
"Kangasala","Total","Total","Net migration",21,24,20,5,-10,19,22,20,3,4,26,19,5,30,28,19,11,29,38,18,26,24,2,27,41,8,46,21,11,28,38,-4,24,71,43
"Kangasniemi","Total","Total","Immigration to Finland",11,14,10,10,3,7,9,4,3,3,7,4,6,11,6,6,10,8,10,13,9,12,6,9,6,13,8,3,9,1,4,1,22,59,35
"Kangasniemi","Total","Total","Emigration from Finland",1,1,5,11,6,5,2,2,6,2,5,7,2,1,4,4,4,5,4,6,1,8,0,4,4,5,6,5,7,6,1,3,4,1,5
"Kangasniemi","Total","Total","Net migration",10,13,5,-1,-3,2,7,2,-3,1,2,-3,4,10,2,2,6,3,6,7,8,4,6,5,2,8,2,-2,2,-5,3,-2,18,58,30
"Kankaanpää","Total","Total","Immigration to Finland",24,30,16,27,23,16,17,9,21,13,9,14,19,22,26,20,57,34,46,56,33,41,45,53,36,41,52,85,65,76,52,56,57,110,265
"Kankaanpää","Total","Total","Emigration from Finland",14,13,16,8,11,10,8,27,15,15,14,7,10,13,8,5,10,10,14,13,14,21,6,26,11,7,25,6,14,18,10,5,7,10,16
"Kankaanpää","Total","Total","Net migration",10,17,0,19,12,6,9,-18,6,-2,-5,7,9,9,18,15,47,24,32,43,19,20,39,27,25,34,27,79,51,58,42,51,50,100,249
"Kannonkoski","Total","Total","Immigration to Finland",5,3,3,0,1,0,1,1,6,2,2,2,1,0,2,0,3,3,3,2,0,2,8,1,1,7,4,5,6,0,0,1,0,1,1
"Kannonkoski","Total","Total","Emigration from Finland",1,1,1,1,1,4,0,0,1,0,1,1,1,4,1,0,1,1,0,2,0,0,0,0,3,1,1,1,0,0,1,0,0,0,1
"Kannonkoski","Total","Total","Net migration",4,2,2,-1,0,-4,1,1,5,2,1,1,0,-4,1,0,2,2,3,0,0,2,8,1,-2,6,3,4,6,0,-1,1,0,1,0
"Kannus","Total","Total","Immigration to Finland",12,15,7,9,7,5,18,3,1,4,4,9,5,3,8,10,5,8,8,10,8,12,17,17,24,12,24,19,9,21,17,16,8,23,17
"Kannus","Total","Total","Emigration from Finland",7,4,4,1,6,5,8,6,6,8,13,11,2,10,3,8,4,9,12,2,1,17,8,4,1,6,4,8,6,5,8,4,5,10,2
"Kannus","Total","Total","Net migration",5,11,3,8,1,0,10,-3,-5,-4,-9,-2,3,-7,5,2,1,-1,-4,8,7,-5,9,13,23,6,20,11,3,16,9,12,3,13,15
"Karijoki","Total","Total","Immigration to Finland",5,7,1,5,7,4,0,3,1,1,0,3,8,1,3,5,1,2,6,2,3,6,5,5,2,1,3,2,0,4,2,11,10,11,2
"Karijoki","Total","Total","Emigration from Finland",4,0,0,0,4,1,2,2,0,1,2,1,5,1,0,5,2,1,4,2,1,0,2,1,0,3,4,2,1,0,0,0,0,0,5
"Karijoki","Total","Total","Net migration",1,7,1,5,3,3,-2,1,1,0,-2,2,3,0,3,0,-1,1,2,0,2,6,3,4,2,-2,-1,0,-1,4,2,11,10,11,-3
"Karkkila","Total","Total","Immigration to Finland",13,35,16,51,5,5,7,6,3,19,13,18,12,11,23,29,50,66,68,37,24,52,49,34,25,24,21,25,29,28,46,28,47,129,49
"Karkkila","Total","Total","Emigration from Finland",5,3,4,11,19,4,5,6,7,16,5,9,10,12,14,14,3,3,15,13,14,18,8,11,5,20,13,8,18,18,8,9,26,7,15
"Karkkila","Total","Total","Net migration",8,32,12,40,-14,1,2,0,-4,3,8,9,2,-1,9,15,47,63,53,24,10,34,41,23,20,4,8,17,11,10,38,19,21,122,34
"Karstula","Total","Total","Immigration to Finland",8,7,9,7,3,0,11,4,4,12,5,4,10,4,7,4,1,5,2,7,7,7,4,9,3,3,8,3,6,7,4,1,10,35,2
"Karstula","Total","Total","Emigration from Finland",6,7,5,2,7,1,3,1,6,7,5,6,5,11,2,2,0,6,3,1,1,5,3,0,3,5,1,7,3,2,2,3,4,1,7
"Karstula","Total","Total","Net migration",2,0,4,5,-4,-1,8,3,-2,5,0,-2,5,-7,5,2,1,-1,-1,6,6,2,1,9,0,-2,7,-4,3,5,2,-2,6,34,-5
"Karvia","Total","Total","Immigration to Finland",3,8,3,3,3,1,0,4,6,10,3,5,3,4,8,8,7,8,2,9,4,3,9,2,5,4,4,6,9,10,13,17,9,23,17
"Karvia","Total","Total","Emigration from Finland",3,1,0,1,2,3,6,3,1,0,3,1,4,0,2,2,1,0,1,0,0,1,1,2,0,1,0,2,1,7,1,0,0,1,0
"Karvia","Total","Total","Net migration",0,7,3,2,1,-2,-6,1,5,10,0,4,-1,4,6,6,6,8,1,9,4,2,8,0,5,3,4,4,8,3,12,17,9,22,17
"Kaskinen","Total","Total","Immigration to Finland",7,2,7,6,4,0,4,2,3,8,2,9,4,9,6,10,4,5,7,10,6,7,11,8,8,9,6,14,6,14,34,10,11,34,34
"Kaskinen","Total","Total","Emigration from Finland",4,11,1,7,4,3,2,8,3,4,2,8,3,4,4,5,4,4,4,3,2,3,5,6,10,2,2,11,12,7,3,2,0,4,2
"Kaskinen","Total","Total","Net migration",3,-9,6,-1,0,-3,2,-6,0,4,0,1,1,5,2,5,0,1,3,7,4,4,6,2,-2,7,4,3,-6,7,31,8,11,30,32
"Kauhajoki","Total","Total","Immigration to Finland",36,50,42,19,17,13,17,12,8,15,27,18,23,18,30,16,34,43,66,41,30,32,50,44,50,28,40,25,32,29,50,33,67,99,65
"Kauhajoki","Total","Total","Emigration from Finland",20,13,15,15,21,22,9,9,9,10,13,17,15,16,26,18,14,13,15,13,20,28,17,13,12,19,20,21,28,16,19,10,19,18,11
"Kauhajoki","Total","Total","Net migration",16,37,27,4,-4,-9,8,3,-1,5,14,1,8,2,4,-2,20,30,51,28,10,4,33,31,38,9,20,4,4,13,31,23,48,81,54
"Kauhava","Total","Total","Immigration to Finland",41,38,9,15,15,10,22,21,26,22,25,27,29,23,37,27,33,31,27,37,50,81,64,77,59,53,54,88,105,120,41,42,49,358,196
"Kauhava","Total","Total","Emigration from Finland",12,7,6,7,7,10,25,13,26,13,17,24,17,24,24,10,17,12,13,5,10,7,19,15,18,23,22,20,20,17,17,9,19,24,29
"Kauhava","Total","Total","Net migration",29,31,3,8,8,0,-3,8,0,9,8,3,12,-1,13,17,16,19,14,32,40,74,45,62,41,30,32,68,85,103,24,33,30,334,167
"Kauniainen","Total","Total","Immigration to Finland",45,68,62,45,44,48,73,51,51,48,59,92,34,83,76,77,86,78,95,71,74,94,74,95,84,103,95,83,89,99,94,82,102,141,112
"Kauniainen","Total","Total","Emigration from Finland",46,45,47,44,72,45,86,49,98,73,74,87,63,56,99,35,52,68,55,67,44,39,60,68,72,74,75,79,53,59,45,60,63,50,74
"Kauniainen","Total","Total","Net migration",-1,23,15,1,-28,3,-13,2,-47,-25,-15,5,-29,27,-23,42,34,10,40,4,30,55,14,27,12,29,20,4,36,40,49,22,39,91,38
"Kaustinen","Total","Total","Immigration to Finland",7,7,8,6,4,3,3,0,13,3,4,12,20,11,5,8,8,2,5,7,7,13,14,9,8,8,7,10,7,11,4,2,3,30,7
"Kaustinen","Total","Total","Emigration from Finland",1,5,2,5,4,5,0,2,2,4,17,2,7,6,7,2,7,8,7,0,5,3,3,1,3,1,11,1,3,4,3,2,1,1,6
"Kaustinen","Total","Total","Net migration",6,2,6,1,0,-2,3,-2,11,-1,-13,10,13,5,-2,6,1,-6,-2,7,2,10,11,8,5,7,-4,9,4,7,1,0,2,29,1
"Keitele","Total","Total","Immigration to Finland",2,3,4,2,2,1,1,2,1,1,4,0,1,2,3,4,6,1,4,2,3,2,7,3,1,1,4,1,7,2,3,4,11,42,7
"Keitele","Total","Total","Emigration from Finland",0,0,2,1,1,0,4,1,0,1,0,0,2,1,1,5,2,2,3,7,0,0,0,1,0,1,1,0,2,6,1,0,2,6,3
"Keitele","Total","Total","Net migration",2,3,2,1,1,1,-3,1,1,0,4,0,-1,1,2,-1,4,-1,1,-5,3,2,7,2,1,0,3,1,5,-4,2,4,9,36,4
"Kemi","Total","Total","Immigration to Finland",111,114,61,105,83,50,81,73,69,77,68,100,75,62,99,120,69,92,118,244,216,169,167,176,167,148,187,100,134,130,141,80,149,247,329
"Kemi","Total","Total","Emigration from Finland",61,34,36,44,32,44,45,53,60,50,69,72,90,63,61,47,43,36,34,41,41,33,40,30,40,26,24,37,41,43,24,23,13,25,43
"Kemi","Total","Total","Net migration",50,80,25,61,51,6,36,20,9,27,-1,28,-15,-1,38,73,26,56,84,203,175,136,127,146,127,122,163,63,93,87,117,57,136,222,286
"Kemijärvi","Total","Total","Immigration to Finland",50,32,27,6,13,11,32,21,20,17,21,21,20,28,30,31,22,29,38,24,21,14,20,21,4,14,36,16,21,20,18,24,33,147,116
"Kemijärvi","Total","Total","Emigration from Finland",12,12,8,14,24,11,27,24,26,21,20,22,12,12,24,34,4,16,8,7,11,10,10,10,12,7,10,7,13,9,5,5,5,12,21
"Kemijärvi","Total","Total","Net migration",38,20,19,-8,-11,0,5,-3,-6,-4,1,-1,8,16,6,-3,18,13,30,17,10,4,10,11,-8,7,26,9,8,11,13,19,28,135,95
"Keminmaa","Total","Total","Immigration to Finland",35,20,11,16,16,22,24,9,7,15,13,9,28,18,23,18,18,17,17,18,17,30,24,20,9,9,12,15,16,8,12,8,6,11,25
"Keminmaa","Total","Total","Emigration from Finland",16,12,11,18,12,14,12,14,22,28,14,16,21,23,21,16,24,14,13,11,19,7,17,7,13,5,9,10,14,3,10,8,7,7,10
"Keminmaa","Total","Total","Net migration",19,8,0,-2,4,8,12,-5,-15,-13,-1,-7,7,-5,2,2,-6,3,4,7,-2,23,7,13,-4,4,3,5,2,5,2,0,-1,4,15
"Kempele","Total","Total","Immigration to Finland",21,25,10,5,4,11,13,7,16,20,32,16,27,65,43,34,35,42,39,33,31,24,37,25,18,19,28,14,22,21,22,22,19,24,27
"Kempele","Total","Total","Emigration from Finland",5,3,9,6,4,7,4,12,23,28,15,38,52,53,34,21,34,21,38,28,10,15,44,28,13,11,10,16,15,21,14,10,12,14,16
"Kempele","Total","Total","Net migration",16,22,1,-1,0,4,9,-5,-7,-8,17,-22,-25,12,9,13,1,21,1,5,21,9,-7,-3,5,8,18,-2,7,0,8,12,7,10,11
"Kerava","Total","Total","Immigration to Finland",59,118,80,114,76,86,93,102,51,84,64,78,89,102,70,120,104,172,147,136,148,222,239,257,292,250,203,180,210,234,212,245,313,488,320
"Kerava","Total","Total","Emigration from Finland",34,34,32,32,37,65,44,58,51,57,75,68,72,67,72,65,57,59,63,55,66,86,88,87,94,96,113,116,150,125,108,101,105,121,117
"Kerava","Total","Total","Net migration",25,84,48,82,39,21,49,44,0,27,-11,10,17,35,-2,55,47,113,84,81,82,136,151,170,198,154,90,64,60,109,104,144,208,367,203
"Keuruu","Total","Total","Immigration to Finland",19,28,10,30,16,12,11,15,17,18,12,27,13,31,21,31,21,36,31,30,15,36,32,17,17,8,97,62,32,22,24,17,40,115,49
"Keuruu","Total","Total","Emigration from Finland",11,6,2,7,8,11,8,13,14,15,14,16,16,11,8,19,11,20,14,12,8,9,15,8,12,9,15,8,15,19,9,9,10,11,7
"Keuruu","Total","Total","Net migration",8,22,8,23,8,1,3,2,3,3,-2,11,-3,20,13,12,10,16,17,18,7,27,17,9,5,-1,82,54,17,3,15,8,30,104,42
"Kihniö","Total","Total","Immigration to Finland",0,1,0,2,1,1,1,6,1,2,0,0,2,2,2,2,3,4,4,4,5,0,1,5,3,2,10,5,1,4,3,0,4,4,8
