"11a7 -- Immigration and emigration by age (5-year), sex and area, 1990-2024"

"Area","Sex","Age","Information","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Enonkoski","Total","Total","Emigration from Finland",2,2,0,3,0,8,3,0,2,5,1,4,0,1,1,3,0,1,1,4,0,2,0,1,2,5,2,3,2,4,0,2,0,2,4
"Enonkoski","Total","Total","Net migration",2,1,2,-3,3,-8,0,1,-2,-5,1,6,4,-1,1,0,5,8,2,1,4,4,1,-1,1,-1,2,1,7,-4,5,0,4,6,-3
"Enontekiö","Total","Total","Immigration to Finland",19,16,8,9,5,8,11,7,7,12,7,8,7,11,12,5,5,7,9,4,7,6,6,12,10,6,1,22,6,16,11,6,5,4,15
"Enontekiö","Total","Total","Emigration from Finland",3,6,7,15,15,15,15,10,9,12,8,14,11,16,11,7,3,4,9,2,9,6,6,2,13,3,8,5,6,12,5,7,9,8,3
"Enontekiö","Total","Total","Net migration",16,10,1,-6,-10,-7,-4,-3,-2,0,-1,-6,-4,-5,1,-2,2,3,0,2,-2,0,0,10,-3,3,-7,17,0,4,6,-1,-4,-4,12
"Espoo","Total","Total","Immigration to Finland",758,930,770,699,553,694,956,859,1018,1114,1185,1575,1516,1442,1594,1861,2066,2370,2708,2328,2412,3041,3209,3263,3405,3166,3384,3421,3661,3865,3968,4374,6450,6764,5350
"Espoo","Total","Total","Emigration from Finland",383,414,449,491,615,802,808,897,1087,1284,1498,1215,1016,1125,1345,1178,1162,1318,1495,1299,1293,1516,1565,1550,1680,1991,2069,1801,2039,1889,1589,1626,1869,1775,2020
"Espoo","Total","Total","Net migration",375,516,321,208,-62,-108,148,-38,-69,-170,-313,360,500,317,249,683,904,1052,1213,1029,1119,1525,1644,1713,1725,1175,1315,1620,1622,1976,2379,2748,4581,4989,3330
"Eura","Total","Total","Immigration to Finland",14,25,27,17,13,18,26,8,8,14,16,13,19,15,15,22,24,20,23,41,47,27,41,52,43,33,35,46,38,43,30,31,59,69,60
"Eura","Total","Total","Emigration from Finland",3,5,3,7,6,7,16,12,16,13,9,10,11,9,6,16,8,4,11,20,9,15,6,10,9,12,5,21,11,18,15,7,7,11,15
"Eura","Total","Total","Net migration",11,20,24,10,7,11,10,-4,-8,1,7,3,8,6,9,6,16,16,12,21,38,12,35,42,34,21,30,25,27,25,15,24,52,58,45
"Eurajoki","Total","Total","Immigration to Finland",29,19,8,13,4,6,9,5,11,11,9,8,5,16,17,26,14,15,32,29,27,27,24,30,25,22,147,154,86,24,29,18,19,44,17
"Eurajoki","Total","Total","Emigration from Finland",8,10,9,6,5,8,7,6,11,13,6,5,8,5,8,9,7,1,4,9,11,12,2,10,6,5,20,36,153,31,27,26,15,24,18
"Eurajoki","Total","Total","Net migration",21,9,-1,7,-1,-2,2,-1,0,-2,3,3,-3,11,9,17,7,14,28,20,16,15,22,20,19,17,127,118,-67,-7,2,-8,4,20,-1
"Evijärvi","Total","Total","Immigration to Finland",3,6,8,4,0,4,6,1,10,7,4,4,13,9,5,15,5,4,5,5,1,8,8,15,4,11,5,6,7,4,7,7,8,18,10
"Evijärvi","Total","Total","Emigration from Finland",3,2,0,3,2,6,4,3,0,2,0,2,2,3,5,1,3,1,0,3,1,1,0,3,2,1,3,1,5,6,8,2,2,3,3
"Evijärvi","Total","Total","Net migration",0,4,8,1,-2,-2,2,-2,10,5,4,2,11,6,0,14,2,3,5,2,0,7,8,12,2,10,2,5,2,-2,-1,5,6,15,7
